0 0.920973 	Random Pair
0.327303 1.08034 	[Smith(wv)],[L-R defense/1.5(w/tv)]
0.327424 1.08113 	[Smith(wv)],[L-R defense/1.75(w/tv)]
0.327634 1.10488 	[Smith(wv)],[L-R offense/2(keener)]
0.327859 1.1227 	L-R defense/0.25(keener)
0.327864 1.08807 	[Smith(wv)],[L-R both/0.25(rel-margins)]
0.328045 1.08864 	L-R both/0.25(rel-margins)
0.32891 1.10471 	[Smith(wv)],[L-R defense/0.25(keener)]
0.328979 1.08097 	L-R defense/1.5(w/tv)
0.329142 1.11806 	HITS(0.001)(keener)
0.329356 1.08134 	[Smith(wv)],[L-R defense/2(w/tv)]
0.329494 1.05083 	L-R defense/0.75(tourn-wv)
0.329579 1.11499 	L-R offense/1.75(keener)
0.329588 1.05082 	L-R defense/0.25(tourn-wv)
0.329591 1.05084 	[Smith(wv)],[L-R defense/2.25(tourn-wv)]
0.329615 1.05082 	Dodgson-Quick(tourn-wv)
0.329618 1.0508 	Dodgson-Quick(rel-margins)
0.329632 1.10453 	[Smith(wv)],[HITS(0.001)(keener)]
0.329644 1.05083 	[Smith(wv)],[L-R defense/0.5(tourn-wv)]
0.329646 1.05088 	L-R defense/2.25(tourn-wv)
0.329647 1.05081 	[Smith(wv)],[L-R defense/1(tourn-wv)]
0.329667 1.05078 	[Smith(wv)],[L-R defense/1.25(tourn-wv)]
0.329685 1.05074 	[Smith(wv)],[L-R defense/1.75(tourn-wv)]
0.329687 1.05077 	Dodgson-Quick(fwv)
0.329697 1.05087 	L-R defense/1(tourn-wv)
0.329714 1.05068 	[Smith(wv)],[Dodgson-Quick(fwv)]
0.329715 1.0508 	[Smith(wv)],[Dodgson-Quick(tourn-wv)]
0.329754 1.05084 	L-R defense/0.5(tourn-wv)
0.329782 1.05076 	L-R defense/1.5(tourn-wv)
0.329788 1.0507 	[Smith(wv)],[L-R defense/0.25(tourn-wv)]
0.329793 1.05075 	Ext-Minmax(tourn-wv)
0.329798 1.05076 	[Smith(wv)],[Ext-Minmin(tourn-wv)]
0.329821 1.05077 	[Smith(wv)],[Dodgson-Quick(rel-margins)]
0.329862 1.05077 	L-R defense/1.25(tourn-wv)
0.329875 1.05074 	[Smith(wv)],[L-R defense/1.5(tourn-wv)]
0.329877 1.05067 	[Smith(wv)],[L-R defense/0.75(tourn-wv)]
0.329893 1.05064 	[Smith(wv)],[L-R defense/2(tourn-wv)]
0.329898 1.10421 	[Smith(wv)],[L-R offense/1.75(keener)]
0.329904 1.0507 	[Smith(wv)],[Ext-Minmax(tourn-wv)]
0.329944 1.05069 	Ext-Minmin(tourn-wv)
0.329974 1.05065 	L-R defense/1.75(tourn-wv)
0.33008 1.05065 	L-R defense/2(tourn-wv)
0.330559 1.11668 	L-R defense/0.5(keener)
0.330639 1.1155 	L-R defense/0.75(keener)
0.330674 1.08096 	[Smith(wv)],[L-R defense/2.25(w/tv)]
0.33068 1.11394 	L-R offense/1.5(keener)
0.331011 1.10237 	[Smith(wv)],[L-R defense/0.5(keener)]
0.331111 1.02262 	[Smith(wv)],[Keener(0.001, +0, raw)(rel-margins)]
0.331203 1.11182 	L-R offense/1.25(keener)
0.331455 1.10118 	[Smith(wv)],[L-R offense/1.25(keener)]
0.331581 1.10125 	[Smith(wv)],[L-R defense/0.75(keener)]
0.331722 1.10217 	[Smith(wv)],[L-R offense/1.5(keener)]
0.331907 1.10103 	[Smith(wv)],[Sinkhorn(0.001, +0)(keener)]
0.331971 1.11668 	ODM(0.001)(keener)
0.332085 1.10068 	[Smith(wv)],[ODM(0.001)(keener)]
0.332092 1.11671 	Sinkhorn(0.001, +0)(keener)
0.3325 1.11585 	L-R both/0.5(keener)
0.33271 1.1003 	[Smith(wv)],[L-R defense/1(keener)]
0.332753 1.10039 	[Smith(wv)],[L-R both/0.25(keener)]
0.33277 1.10027 	[Smith(wv)],[L-R both/2.25(keener)]
0.332799 1.1003 	[Smith(wv)],[L-R both/1.75(keener)]
0.332818 1.1001 	[Smith(wv)],[Sinkhorn(0.001, +1)(keener)]
0.33284 1.10022 	[Smith(wv)],[L-R both/1.25(keener)]
